Laju Pertumbuhan (r): 0.1624
Carrying Capacity (K): 35000
Tahun,Populasi (Eksponensial),Populasi (Logistik)
0,400,400
1,471,470
2,553,551
3,651,646
4,766,758
5,901,888
6,1.060,1.040
7,1.247,1.217
8,1.466,1.423
9,1.725,1.662
10,2.029,1.939
11,2.387,2.259
12,2.808,2.627
13,3.303,3.050
14,3.886,3.534
15,4.571,4.084
16,5.377,4.707
17,6.325,5.409
18,7.440,6.194
19,8.752,7.066
20,10.295,8.026
21,12.110,9.074
22,14.245,10.207
23,16.757,11.420
24,19.712,12.703
25,23.187,14.044
26,27.276,15.429
27,32.085,16.840
28,37.743,18.260
29,44.398,19.670
30,52.226,21.053
31,61.435,22.390
32,72.268,23.668
33,85.010,24.875
34,100.000,26.003
